Source	ISIN	ISIN Name	Type	Qty	MktPrice	Total	Statement Date
CDSL	INF760K01EI4	CANARA ROBECO AMC LTD-CANARA ROBECO MF-CANARA ROBECO LARGE AND MID CAP FUND DIRECT PLAN GROWTH	MF	310.83	302.27	93954.5841	29-Aug-26
CDSL	INE736A01011	CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED -EQUITY SHARES	S	25	1414.7	35367.5	29-Aug-26
CDSL	INE522F01014	COAL INDIA LIMITED - EQUITY SHARES	S	70	401	28070	29-Aug-26
CDSL	INE016A01026	DABUR INDIA LIMITED - EQUITY SHARES (FV RE.1/-)	S	76	385	29260	29-Aug-26
CDSL	INE600Y01019	DYNAMIC CABLES LIMITED # EQUITY SHARES	S	4	487.75	1951	29-Aug-26
CDSL	INF179K01WA6	HDFC AMC LTD#HDFC MF-HDFC BALANCED ADVANTAGE FUND-DIRECT-GROWTH	MF	18.184	572.286	10406.44862	29-Aug-26
CDSL	INE066F01020	HINDUSTAN AERONAUTICS LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS.5/- AFTER SUB-DIVISION	S	7	4845	33915	29-Aug-26
CDSL	INE0GSL01024	HP ADHESIVES LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS.2/- AFTER SUB-DIVISION	S	228	34.81	7936.68	29-Aug-26
CDSL	INF109K01Y80	ICICI PRU AMC LTD#ICICI PRU MF-ICICI PRU NIFTY NEXT 50 INDEX FUND-DIRECT PLAN-GROWTH	MF	74.402	69.033	5136.193266	29-Aug-26
CDSL	INF109KC1NT3	ICICI PRUD ASSET MGMT CO LTD#ICICI PRU MF-ICICI PRUENTIAL GOLD EXCHANGE TRADED FUND	MF	1807	135.67	245155.69	29-Aug-26
CDSL	INF109K014O9	ICICI PRUDENTIAL AMC LTD#ICICI PRU MF-ICICI PRU MULTICAP FUND-DIRECT PLAN-GROWTH	MF	5.807	988.5	5740.2195	29-Aug-26
CDSL	INE242A01010	INDIAN OIL CORPORATION LIMITED EQUITY SHARES	S	1170	137	160290	29-Aug-26
CDSL	INE335Y01020	INDIAN RAILWAY CATERING AND TOURISM CORPORATION LTD#NEW EQUITY SHARES WITH FV RS.2/-AFT SUB DIVISION	S	26	485.6	12625.6	29-Aug-26
CDSL	INE053F01010	INDIAN RAILWAY FINANCE CORPORATION LIMITED # EQUITY SHARES	S	104	83.83	8718.32	29-Aug-26
CDSL	INE009A01021	INFOSYS LIMITED - EQUITY SHARES OF RS 5/- EACH	S	38	1143.65	43458.7	29-Aug-26
CDSL	INE984B01023	INTEGRA ENGINEERING INDIA LIMITED #  NEW EQUITY SHARES OF RE.1/- AFTER REDUCTION OF CAPITAL	S	86	170.6	14671.6	29-Aug-26
CDSL	INE379A01028	ITC HOTELS LIMITED # EQUITY SHARES	S	1	162.8	162.8	29-Aug-26
CDSL	INE154A01025	ITC LIMITED - EQUITY SHARES OF RE.1/- AFTER SPLIT	S	14	266	3724	29-Aug-26
CDSL	INE758E01017	JIO FINANCIAL SERVICES LIMITED # EQUITY SHARES	S	37	238.1	8809.7	29-Aug-26
CDSL	INE138Y01010	KFIN TECHNOLOGIES LIMITED # EQUITY SHARES	S	2	949	1898	29-Aug-26
CDSL	INF174KA1210	KOTAK MAHINDRA AMC LTD#KOTAK MAHINDRA MF-KOTAK BALANCED ADVANTAGE FUND-DIRECT-GROWTH	MF	2042.511	23.402	47798.84242	29-Aug-26
CDSL	INE018A01030	LARSEN & TOUBRO LIMITED-EQUITY SHARES OF RS.2/- EACH	S	10	4041	40410	29-Aug-26
CDSL	INF767K01GW5	LIC MUTUAL FUND AMC LTD-LIC MF-LIC MF INFRASTRUCTURE FUND-DIRECT PLAN-GROWTH OPTION	MF	2460.536	63.888	157198.724	29-Aug-26
